,words,freqs,year
0,The,1.1669812939763171,2015
1,EU,1.098335335507122,2015
2,Member,1.029689377037927,2015
3,States,1.029689377037927,2015
4,investment,1.0125278874206283,2015
5,European,0.9610434185687318,2015
6,Commission,0.7722670327784451,2015
7,growth,0.6521366054573537,2015
8,level,0.5834906469881586,2015
9,national,0.5663291573708598,2015
10,%,0.5663291573708598,2015
11,Europe,0.5148446885189635,2015
12,This,0.4976831989016646,2015
13,public,0.4976831989016646,2015
14,economic,0.4461987300497683,2015
15,reforms,0.4461987300497683,2015
16,also,0.4461987300497683,2015
17,fiscal,0.4461987300497683,2015
18,2014,0.4290372404324695,2015
19,Growth,0.394714261197872,2015
20,social,0.394714261197872,2015
21,'s,0.3775527715805732,2015
22,e,0.3775527715805732,2015
23,energy,0.3775527715805732,2015
24,Semester,0.3775527715805732,2015
25,In,0.3603912819632744,2015
26,need,0.3432297923459756,2015
27,market,0.3432297923459756,2015
28,new,0.3260683027286769,2015
29,policy,0.3089068131113781,2015
30,needs,0.2917453234940793,2015
31,THE,0.2745838338767805,2015
32,2015,0.2745838338767805,2015
33,structural,0.2745838338767805,2015
34,Investment,0.2745838338767805,2015
35,A,0.2745838338767805,2015
36,EUR,0.2745838338767805,2015
37,services,0.2745838338767805,2015
38,tax,0.2745838338767805,2015
39,Annual,0.25742234425948174,2015
40,high,0.25742234425948174,2015
41,levels,0.25742234425948174,2015
42,Œ,0.25742234425948174,2015
43,particular,0.25742234425948174,2015
44,economy,0.25742234425948174,2015
45,billion,0.25742234425948174,2015
46,Council,0.25742234425948174,2015
47,Survey,0.24026085464218294,2015
48,time,0.24026085464218294,2015
49,It,0.24026085464218294,2015
50,private,0.24026085464218294,2015
51,environment,0.22309936502488414,2015
52,systems,0.22309936502488414,2015
53,single,0.22309936502488414,2015
54,implementation,0.22309936502488414,2015
55,country-specific,0.22309936502488414,2015
56,year,0.20593787540758535,2015
57,across,0.20593787540758535,2015
58,approach,0.20593787540758535,2015
59,role,0.20593787540758535,2015
60,better,0.20593787540758535,2015
61,improving,0.20593787540758535,2015
62,efficiency,0.20593787540758535,2015
63,necessary,0.20593787540758535,2015
64,labour,0.20593787540758535,2015
65,financial,0.1887763857902866,2015
66,debt,0.1887763857902866,2015
67,well,0.1887763857902866,2015
